1563711861.13,0,8909
1563711861.38,0,8794
1563711861.64,0,8718
1563711861.89,0,8724
1563711862.14,0,8729
1563711862.4,0,8826
1563711862.65,0,13852
1563711862.91,0,8641
1563711863.16,5081,11897
1563711863.42,27284,8759
1563711863.67,0,8897
1563711863.93,0,11997
1563711864.18,4310,12770
1563711864.44,6412,52113
1563711864.69,0,156436
1563711864.95,12926,81359
1563711865.2,10147,8463
1563711865.46,1699,22473
1563711865.71,137026,32967
1563711865.97,76701,58704
1563711866.22,0,52953
1563711866.48,30325,12894
1563711866.73,212158,8653
1563711866.99,393119,8613
1563711867.24,467426,8820
1563711867.5,79663,8706
1563711867.75,0,42457
1563711868.01,0,414626
1563711868.26,0,326462
1563711868.52,0,13780
1563711868.77,0,9247
1563711869.03,0,10148
1563711869.28,0,9726
1563711869.54,0,0
1563711869.79,0,0
1563711870.05,0,0
1563711870.3,0,0
1563711870.56,0,0
1563711870.81,0,0
1563711871.07,0,0
1563711871.32,0,0
1563711871.58,0,0
1563711871.83,0,0
1563711872.09,0,0
1563711872.34,0,0
1563711872.6,0,0
1563711872.85,0,0
1563711873.11,0,0
1563711873.36,0,0
1563711873.62,0,0
1563711873.87,0,0
1563711874.13,0,0
1563711874.38,0,0
1563711874.64,0,0
1563711874.89,0,0
1563711875.15,0,0
1563711875.4,0,0
1563711875.66,0,0
1563711875.91,0,0
1563711876.17,0,0
1563711876.42,0,0
1563711876.68,0,0
1563711876.93,0,0
1563711877.19,0,0
1563711877.44,0,0
1563711877.7,0,0
1563711877.96,0,0
1563711878.21,0,0
1563711878.47,0,0
1563711878.72,0,0
1563711878.98,0,0
1563711879.23,0,7902
1563711879.49,0,8742
1563711879.74,0,23134
1563711880.0,9789,41226
1563711880.25,20035,60473
1563711880.51,50255,134271
1563711880.76,19027,202812
1563711881.02,10453,168973
1563711881.27,12416,184801
1563711881.53,0,175829
1563711881.78,0,85437
1563711882.04,1041,54441
1563711882.29,26537,29811
1563711882.55,92634,25554
1563711882.8,199088,18370
1563711883.06,184635,111176
1563711883.31,53169,294695
1563711883.57,35133,174756
1563711883.83,186679,30100
1563711884.08,241222,52668
1563711884.34,104217,323908
1563711884.59,63498,107053
1563711884.85,60317,8722
1563711885.1,0,8729
1563711885.36,484,13161
1563711885.61,0,8854
1563711885.87,0,8697
1563711886.12,0,11692
1563711886.38,5262,10061
1563711886.63,0,67922
1563711886.89,39225,154878
1563711887.14,83191,177635
1563711887.4,124232,279882
1563711887.65,213108,433684
1563711887.91,328506,710770
1563711888.16,403448,319399
1563711888.42,223892,239970
1563711888.67,204689,414405
1563711888.93,289638,493100
1563711889.18,593831,214803
1563711889.44,743775,393926
1563711889.69,140199,739366
1563711889.95,142646,409313
1563711890.2,613459,184437
1563711890.46,388735,705047
1563711890.71,52352,633806
1563711890.97,363891,138025
1563711891.22,583090,568190
1563711891.48,84263,664440
1563711891.73,155127,386828
1563711891.99,76552,10442
1563711892.24,0,8448
1563711892.5,0,8666
1563711892.75,0,8809
1563711893.01,0,8708
